Script started on 2025-10-15 23:08:10+03:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="150" LINES="39"]
[?2004h]0;parallels@devopsVM: ~/codeby-devops[01;32mparallels@devopsVM[00m:[01;34m~/codeby-devops[00m$ ps -r[Ke
[?2004l    PID TTY          TIME CMD
      1 ?        00:00:01 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 pool_workqueue_release
      4 ?        00:00:00 kworker/R-rcu_g
      5 ?        00:00:00 kworker/R-rcu_p
      6 ?        00:00:00 kworker/R-slub_
      7 ?        00:00:00 kworker/R-netns
     12 ?        00:00:00 kworker/R-mm_pe
     13 ?        00:00:00 rcu_tasks_kthread
     14 ?        00:00:00 rcu_tasks_rude_kthread
     15 ?        00:00:00 rcu_tasks_trace_kthread
     16 ?        00:00:01 ksoftirqd/0
     17 ?        00:00:03 rcu_preempt
     18 ?        00:00:00 migration/0
     19 ?        00:00:00 idle_inject/0
     20 ?        00:00:00 cpuhp/0
     21 ?        00:00:00 cpuhp/1
     22 ?        00:00:00 idle_inject/1
     23 ?        00:00:00 migration/1
     24 ?        00:00:01 ksoftirqd/1
     26 ?        00:00:00 kworker/1:0H-events_highpri
     27 ?        00:00:00 kdevtmpfs
     28 ?        00:00:00 kworker/R-inet_
     30 ?        00:00:00 kauditd
     31 ?        00:00:00 khungtaskd
     32 ?        00:00:00 oom_reaper
     33 ?        00:00:00 kworker/R-write
     34 ?        00:00:01 kcompactd0
     35 ?        00:00:00 ksmd
     36 ?        00:00:00 khugepaged
     37 ?        00:00:00 kworker/R-kinte
     38 ?        00:00:00 kworker/R-kbloc
     39 ?        00:00:00 kworker/R-blkcg
     40 ?        00:00:00 kworker/R-tpm_d
     41 ?        00:00:00 kworker/R-ata_s
     42 ?        00:00:00 kworker/R-md
     43 ?        00:00:00 kworker/R-md_bi
     44 ?        00:00:00 kworker/R-edac-
     45 ?        00:00:00 kworker/R-devfr
     46 ?        00:00:00 watchdogd
     48 ?        00:00:00 kworker/0:1H-kblockd
     49 ?        00:00:00 kswapd0
     50 ?        00:00:00 ecryptfs-kthread
     51 ?        00:00:00 kworker/R-kthro
     52 ?        00:00:00 irq/12-ACPI:Ged
     53 ?        00:00:00 kworker/R-acpi_
     56 ?        00:00:00 kworker/R-mld
     57 ?        00:00:00 kworker/R-ipv6_
     64 ?        00:00:00 kworker/R-kstrp
     66 ?        00:00:00 kworker/u5:0
     70 ?        00:00:00 kworker/R-charg
     96 ?        00:00:00 kworker/1:1H-kblockd
    117 ?        00:00:00 scsi_eh_0
    118 ?        00:00:00 kworker/R-scsi_
    119 ?        00:00:00 scsi_eh_1
    120 ?        00:00:00 kworker/R-scsi_
    121 ?        00:00:00 scsi_eh_2
    122 ?        00:00:00 kworker/R-scsi_
    123 ?        00:00:00 scsi_eh_3
    124 ?        00:00:00 kworker/R-scsi_
    125 ?        00:00:00 scsi_eh_4
    126 ?        00:00:00 kworker/R-scsi_
    130 ?        00:00:00 scsi_eh_5
    131 ?        00:00:00 kworker/R-scsi_
    395 ?        00:00:00 kworker/0:2H-kblockd
    431 ?        00:00:00 kworker/R-raid5
    474 ?        00:00:00 jbd2/sda2-8
    475 ?        00:00:00 kworker/R-ext4-
    544 ?        00:00:00 systemd-journal
    569 ?        00:00:00 kworker/R-kmpat
    572 ?        00:00:00 kworker/R-kmpat
    593 ?        00:00:02 multipathd
    612 ?        00:00:00 systemd-udevd
    619 ?        00:00:00 psimon
   1000 ?        00:00:05 systemd-oomd
   1016 ?        00:00:00 systemd-resolve
   1134 ?        00:00:11 avahi-daemon
   1135 ?        00:00:40 dbus-daemon
   1138 ?        00:00:00 gnome-remote-de
   1140 ?        00:00:05 polkitd
   1142 ?        00:00:00 power-profiles-
   1144 ?        00:00:00 qrtr-ns
   1148 ?        00:00:01 snapd
   1149 ?        00:00:00 accounts-daemon
   1150 ?        00:00:00 switcheroo-cont
   1154 ?        00:00:00 systemd-logind
   1157 ?        00:00:00 udisksd
   1164 ?        00:00:00 avahi-daemon
   1173 ?        00:00:00 NetworkManager
   1181 ?        00:00:00 wpa_supplicant
   1208 ?        00:00:04 prltoolsd
   1257 ?        00:00:00 rsyslogd
   1260 ?        00:00:04 prlshprint
   1261 ?        00:00:00 prltimesync
   1311 ?        00:00:00 ModemManager
   1401 ?        00:00:00 fusermount
   1409 ?        00:00:00 prl_fsd
   1541 ?        00:00:00 rosettad
   1612 ?        00:00:00 psimon
   1616 ?        00:00:08 cupsd
   1621 ?        00:00:00 unattended-upgr
   1622 ?        00:00:17 containerd
   1641 ?        00:00:01 cups-browsed
   1643 ?        00:00:00 cron
   1648 ?        00:00:00 kerneloops
   1654 ?        00:00:00 kerneloops
   1671 ?        00:00:00 gdm3
   1686 ?        00:00:01 dockerd
   1763 ?        00:00:00 rtkit-daemon
   1841 ?        00:00:00 fusermount
   1842 ?        00:00:00 prl_fsd
   2179 ?        00:00:00 colord
   2220 ?        00:00:00 upowerd
   2620 ?        00:00:00 gdm-session-wor
   2648 ?        00:00:00 systemd
   2651 ?        00:00:00 (sd-pam)
   2666 ?        00:00:05 pipewire
   2667 ?        00:00:00 pipewire
   2672 ?        00:00:01 wireplumber
   2676 ?        00:00:01 pipewire-pulse
   2681 ?        00:00:00 gnome-keyring-d
   2682 ?        00:00:18 dbus-daemon
   2712 tty2     00:00:00 gdm-wayland-ses
   2719 tty2     00:00:00 gnome-session-b
   2781 ?        00:00:00 gcr-ssh-agent
   2782 ?        00:00:00 gnome-session-c
   2796 ?        00:00:00 gvfsd
   2804 ?        00:00:00 gvfsd-fuse
   2813 ?        00:00:00 gnome-session-b
   2840 ?        00:00:00 at-spi-bus-laun
   2841 ?        00:09:49 gnome-shell
   2853 ?        00:00:00 dbus-daemon
   2930 ?        00:00:00 at-spi2-registr
   2943 ?        00:00:00 gnome-shell-cal
   2944 ?        00:00:00 xdg-permission-
